,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
2404,002719,麦趣尔,-6.556,10.69,11.32,11.5,10.33,11.44,3962272.0,2.8131,42852890.0,62.882,1.591,186155.079533,150569.532994
2405,002718,友邦吊顶,-3.955,25.74,26.7,26.7,25.4,26.8,269000.0,1.03335,6961216.0,17.51,1.913,225564.474564,67006.074564
2406,002717,岭南股份,-0.97,7.15,7.17,7.26,7.05,7.22,4192263.0,0.7527600000000001,30024667.0,5.813,1.736,732453.654075,398199.426625
2407,002716,金贵银业,-7.47,6.07,6.55,6.57,5.9,6.56,42439031.0,6.81027,255873290.0,12.915,1.54,583010.262544,378259.744939
2408,002715,登云股份,-4.635,16.05,16.79,16.83,15.27,16.83,882284.0,1.06345,14097818.0,160.5,3.038,147660.0,133157.693475
2409,002714,牧原股份,3.224,33.3,32.19,33.5,32.06,32.26,4739251.0,0.40745000000000003,156387965.0,15.708,7.066,6943829.95926,3873267.51201
2410,002713,东易日盛,-5.2,15.86,16.53,16.62,15.61,16.73,466333.0,0.52766,7495282.0,18.442,3.939,416587.573402,140167.379534
2411,002712,思美传媒,-4.762,6.0,6.25,6.33,5.86,6.3,5138752.0,1.7277,31237651.0,7.895,1.003,348721.4928,178459.9578
2412,002711,欧浦智网,-4.611,3.31,3.4,3.41,3.23,3.47,12550717.0,1.19512,41672541.0,16.55,1.841,349559.3024,347605.269718
2413,002709,天赐材料,-1.201,25.5,25.81,26.25,24.86,25.81,4558637.0,1.99025,116830161.0,27.717,3.06,865647.68655,584073.47865
2414,002708,光洋股份,-5.603,6.57,6.94,7.02,6.38,6.96,10212402.0,2.74307,68220230.0,255.642,2.023,308041.726932,244599.85827
2415,002707,众信旅游,-5.965,5.36,5.71,5.79,5.26,5.7,6808661.0,1.28248,37518390.0,19.143,2.017,474582.683344,284561.204184
2416,002706,良信电器,-0.353,5.65,5.63,5.71,5.55,5.67,1229790.0,0.22497000000000003,6925986.0,13.78,2.479,443666.6568,308850.33214
2417,002705,新宝股份,-3.039,9.89,10.23,10.3,9.86,10.2,1805443.0,0.22676000000000002,18115403.0,19.313,2.097,792656.683265,787417.36181
2418,002703,浙江世宝,-3.167,4.28,4.38,4.4,4.15,4.42,4327900.0,0.7825300000000001,18394862.0,103.382,2.305,337967.904636,236712.227456
2419,002702,海欣食品,-3.118,4.04,4.16,4.16,3.97,4.17,3655310.0,1.14646,14803169.0,-71.252,2.437,194227.04,128809.34
2420,002701,奥瑞金,-0.805,4.93,4.96,4.97,4.91,4.97,3846825.0,0.16346000000000002,18957256.0,16.433,1.968,1161126.2208,1160202.805178
2421,002700,新疆浩源,-4.189,8.92,9.31,9.35,8.51,9.31,3691700.0,1.17896,32877254.0,49.556,3.791,376804.77696,279312.74496
2422,002699,美盛文化,-7.948,4.98,5.37,5.38,4.87,5.41,17305404.0,2.32444,87057261.0,23.714,1.258,452967.21705,370759.75251
2423,002698,博实股份,-1.291,9.94,10.01,10.05,9.79,10.07,1094907.0,0.20111,10842599.0,52.316,3.373,677609.8,541164.05616
2424,002697,红旗连锁,-0.187,5.35,5.35,5.4,5.26,5.36,2668234.0,0.2705,14257598.0,44.583,2.858,727600.0,527736.8935
2425,002696,百洋股份,1.641,8.67,8.53,8.73,8.31,8.53,1372590.0,0.6528,11733278.0,14.169,1.524,342734.369097,182297.759166
